acc_best,acc_last,acc_mean_tail,acc_std_tail,delay_len,eval_tail,expected_boundary,expected_non_source_writes,loss_best,loss_mean_tail,loss_std_tail,mask_mode,max_mem,model,noise_write_count,noise_write_ratio,phase,seed,theoretical_retained_source,theoretical_source_retention_ratio,window_size,write_mode
0.5843750238418579,0.528124988079071,0.5325250120162964,0.013557435173126426,20,500,21,1,0.9499602317810059,1.013166598558426,0.02564964890550685,forced,10,naive,0,0.0,expC_intermediate,0,9,0.45,8,source-sep-noise-budget
0.925000011920929,0.903124988079071,0.8999875119924545,0.008935523331724525,20,500,21,1,0.15134868025779724,0.1878418804705143,0.017290921217856144,forced,19,naive,0,0.0,expC_intermediate,0,18,0.9,8,source-sep-noise-budget
0.921875,0.909375011920929,0.9000187603235245,0.008641042722602394,20,500,21,1,0.16257716715335846,0.20595013603568077,0.019706031242418015,forced,20,naive,0,0.0,expC_intermediate,0,19,0.95,8,source-sep-noise-budget
0.809374988079071,0.784375011920929,0.7664687622785569,0.010753405158869836,20,500,21,1,0.4219999313354492,0.47057978963851926,0.01804201178942876,forced,21,naive,0,0.0,expC_intermediate,0,20,1.0,8,source-sep-noise-budget
0.809374988079071,0.784375011920929,0.7664687622785569,0.010753405158869836,20,500,21,1,0.4219999313354492,0.47057978963851926,0.01804201178942876,forced,22,naive,0,0.0,expC_intermediate,0,20,1.0,8,source-sep-noise-budget
0.809374988079071,0.784375011920929,0.7664687622785569,0.010753405158869836,20,500,21,1,0.4219999313354492,0.47057978963851926,0.01804201178942876,forced,23,naive,0,0.0,expC_intermediate,0,20,1.0,8,source-sep-noise-budget
0.809374988079071,0.784375011920929,0.7664687622785569,0.010753405158869836,20,500,21,1,0.4219999313354492,0.47057978963851926,0.01804201178942876,forced,31,naive,0,0.0,expC_intermediate,0,20,1.0,8,source-sep-noise-budget
0.809374988079071,0.784375011920929,0.7664687622785569,0.010753405158869836,20,500,21,1,0.4219999313354492,0.47057978963851926,0.01804201178942876,forced,41,naive,0,0.0,expC_intermediate,0,20,1.0,8,source-sep-noise-budget
0.3218750059604645,0.24687500298023224,0.2604312554001808,0.016929241459983493,20,500,26,6,1.6328662633895874,1.7105092256069183,0.026975809048024758,forced,10,naive,5,0.25,expC_intermediate,0,4,0.2,8,source-sep-noise-budget
0.862500011920929,0.8218750357627869,0.8178562616109848,0.01783611448331341,20,500,26,6,0.27546530961990356,0.3475336307287216,0.035820156779341854,forced,20,naive,5,0.25,expC_intermediate,0,14,0.7,8,source-sep-noise-budget
0.918749988079071,0.890625,0.8943750131130218,0.009704622557017444,20,500,26,6,0.18828259408473969,0.24378010281920434,0.02950241080340562,forced,24,naive,5,0.25,expC_intermediate,0,18,0.9,8,source-sep-noise-budget
0.921875,0.887499988079071,0.8988875133991241,0.008055751992691977,20,500,26,6,0.15630492568016052,0.21283773612976073,0.021251651094539307,forced,25,naive,5,0.25,expC_intermediate,0,19,0.95,8,source-sep-noise-budget
0.9625000357627869,0.953125,0.9450687623023987,0.006897629063262043,20,500,26,6,0.09125746786594391,0.13505018681287764,0.02063608530321645,forced,26,naive,5,0.25,expC_intermediate,0,20,1.0,8,source-sep-noise-budget
0.9625000357627869,0.953125,0.9450687623023987,0.006897629063262043,20,500,26,6,0.09125746786594391,0.13505018681287764,0.02063608530321645,forced,27,naive,5,0.25,expC_intermediate,0,20,1.0,8,source-sep-noise-budget
0.9625000357627869,0.953125,0.9450687623023987,0.006897629063262043,20,500,26,6,0.09125746786594391,0.13505018681287764,0.02063608530321645,forced,28,naive,5,0.25,expC_intermediate,0,20,1.0,8,source-sep-noise-budget
0.9625000357627869,0.953125,0.9450687623023987,0.006897629063262043,20,500,26,6,0.09125746786594391,0.13505018681287764,0.02063608530321645,forced,36,naive,5,0.25,expC_intermediate,0,20,1.0,8,source-sep-noise-budget
0.9625000357627869,0.953125,0.9450687623023987,0.006897629063262043,20,500,26,6,0.09125746786594391,0.13505018681287764,0.02063608530321645,forced,46,naive,5,0.25,expC_intermediate,0,20,1.0,8,source-sep-noise-budget
0.171875,0.109375,0.11491875164210796,0.01336642709368897,20,500,31,11,2.550203800201416,2.6025180978775024,0.01793246651568261,forced,10,naive,10,0.5,expC_intermediate,0,0,0.0,8,source-sep-noise-budget
0.7593750357627869,0.731249988079071,0.7181062633991242,0.012208942166579901,20,500,31,11,0.5560981035232544,0.6285126999616623,0.024308402077951114,forced,20,naive,10,0.5,expC_intermediate,0,9,0.45,8,source-sep-noise-budget
0.965624988079071,0.9468750357627869,0.9432125128507615,0.007420420661643129,20,500,31,11,0.10282471030950546,0.14265580797195435,0.018974103983145602,forced,29,naive,10,0.5,expC_intermediate,0,18,0.9,8,source-sep-noise-budget
