acc_best,acc_last,acc_mean_tail,acc_std_tail,delay_len,eval_tail,expected_boundary,loss_best,loss_mean_tail,loss_std_tail,mask_mode,max_mem,model,noise_write_budget,phase,seed,task,theoretical_retained_source,theoretical_source_retention_ratio,window_size,write_mode
0.871874988079071,0.828125,0.8389062626361847,0.01073086063391478,20,500,20,0.2850072979927063,0.3495858612656593,0.020322072675920493,forced,10,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,10,0.5,8,source-only
0.949999988079071,0.9125000238418579,0.9193687617778779,0.008290853212075044,20,500,20,0.10002477467060089,0.14292740739881993,0.01241506752790033,forced,15,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,15,0.75,8,source-only
1.0,1.0,0.9999249997138977,0.0004782799862291205,20,500,20,1.0298729648638982e-05,0.00046590438180101046,0.002532517281569998,forced,20,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,source-only
1.0,1.0,0.9999249997138977,0.0004782799862291205,20,500,20,1.0298729648638982e-05,0.00046590438180101046,0.002532517281569998,forced,25,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,source-only
1.0,1.0,0.9999249997138977,0.0004782799862291205,20,500,20,1.0298729648638982e-05,0.00046590438180101046,0.002532517281569998,forced,30,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,source-only
0.3843750059604645,0.3218750059604645,0.31765625566244127,0.018991029525290876,20,500,41,1.4656915664672852,1.509597384929657,0.012109417989063745,forced,10,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,0,0.0,8,prefix-all
0.45625001192092896,0.4124999940395355,0.40564375567436217,0.017502333386616144,20,500,41,1.23456609249115,1.313462264060974,0.0231728040254462,forced,20,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,0,0.0,8,prefix-all
0.949999988079071,0.9312500357627869,0.9190625119209289,0.008304507354995752,20,500,41,0.10348685830831528,0.14288069708645343,0.01311835583498613,forced,39,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,18,0.9,8,prefix-all
0.8812500238418579,0.8531250357627869,0.8505687628984451,0.00877278142461411,20,500,41,0.26272979378700256,0.3175512731075287,0.015580309871110858,forced,40,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,19,0.95,8,prefix-all
0.9156250357627869,0.887499988079071,0.8849312624931336,0.008573165890659522,20,500,41,0.18335892260074615,0.22655463123321534,0.013468269809817846,forced,41,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,prefix-all
0.9156250357627869,0.887499988079071,0.8849312624931336,0.008573165890659522,20,500,41,0.18335892260074615,0.22655463123321534,0.013468269809817846,forced,42,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,prefix-all
0.9156250357627869,0.887499988079071,0.8849312624931336,0.008573165890659522,20,500,41,0.18335892260074615,0.22655463123321534,0.013468269809817846,forced,43,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,prefix-all
0.9156250357627869,0.887499988079071,0.8849312624931336,0.008573165890659522,20,500,41,0.18335892260074615,0.22655463123321534,0.013468269809817846,forced,51,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,prefix-all
0.9156250357627869,0.887499988079071,0.8849312624931336,0.008573165890659522,20,500,41,0.18335892260074615,0.22655463123321534,0.013468269809817846,forced,61,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,prefix-all
1.0,1.0,0.9999249997138977,0.0004782799862291205,20,500,20,1.0298729648638982e-05,0.00046590438180101046,0.002532517281569998,forced,20,naive,0,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,source-pinned-noise-fifo
0.9156250357627869,0.887499988079071,0.8845937612056732,0.008629245458697834,20,500,20,0.18255220353603363,0.22661243903636932,0.013419163024097534,forced,40,naive,20,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,source-pinned-noise-fifo
0.9156250357627869,0.887499988079071,0.8845937612056732,0.008629245458697834,20,500,20,0.18255220353603363,0.22661243903636932,0.013419163024097534,forced,60,naive,40,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,source-pinned-noise-fifo
0.9156250357627869,0.887499988079071,0.8845937612056732,0.008629245458697834,20,500,20,0.18255220353603363,0.22661243903636932,0.013419163024097534,forced,100,naive,80,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,source-pinned-noise-fifo
0.8062500357627869,0.7718750238418579,0.7703812619447709,0.009823400255206715,40,500,20,0.4479919373989105,0.5203556627035141,0.01950317820591022,forced,10,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,10,0.5,8,source-only
0.953125,0.918749988079071,0.9195250110626221,0.007584481943209797,40,500,20,0.09781718254089355,0.1406982116252184,0.010392282527936362,forced,15,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,15,0.75,8,source-only
1.0,1.0,0.9999687498807908,0.00031093476021327353,40,500,20,1.3453134670271538e-05,0.00029715609824779675,0.002141300494555496,forced,20,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,source-only
1.0,1.0,0.9999687498807908,0.00031093476021327353,40,500,20,1.3453134670271538e-05,0.00029715609824779675,0.002141300494555496,forced,25,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,source-only
1.0,1.0,0.9999687498807908,0.00031093476021327353,40,500,20,1.3453134670271538e-05,0.00029715609824779675,0.002141300494555496,forced,30,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,source-only
0.34375,0.25312501192092896,0.271393755286932,0.01727712057420986,40,500,61,1.641993761062622,1.6570178208351136,0.024681897143260145,forced,10,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,0,0.0,8,prefix-all
0.3343749940395355,0.24687500298023224,0.27083750581741334,0.0174513214969227,40,500,61,1.6435333490371704,1.6545700380802155,0.001813703035340153,forced,20,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,0,0.0,8,prefix-all
0.921875,0.893750011920929,0.8840125136375427,0.008773708996074348,40,500,61,0.16976261138916016,0.2291802609860897,0.014270430726460243,forced,59,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,18,0.9,8,prefix-all
0.8843750357627869,0.8687500357627869,0.8413500121831894,0.01132706896224052,40,500,61,0.22627267241477966,0.29061786717176435,0.015616456237462443,forced,60,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,19,0.95,8,prefix-all
1.0,1.0,0.999762499332428,0.0009176241399177381,40,500,61,2.7124269763589837e-05,0.001455660511081078,0.004502877831204272,forced,61,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,prefix-all
1.0,1.0,0.999762499332428,0.0009176241399177381,40,500,61,2.7124269763589837e-05,0.001455660511081078,0.004502877831204272,forced,62,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,prefix-all
1.0,1.0,0.999762499332428,0.0009176241399177381,40,500,61,2.7124269763589837e-05,0.001455660511081078,0.004502877831204272,forced,63,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,prefix-all
