acc_best,acc_last,acc_mean_tail,acc_std_tail,delay_len,eval_tail,loss_best,loss_mean_tail,loss_std_tail,mask_mode,max_mem,model,noise_write_budget,phase,seed,theoretical_retained_source,theoretical_source_retention_ratio,window_size,write_mode
0.109375,0.04062500223517418,0.05029375085234642,0.01231470655423131,10,500,2.9811654090881348,2.996885687828064,0.0026955687742074544,natural,0,baseline,,natural_baseline,0,,,4,none
0.09375,0.02500000037252903,0.04995625095814466,0.012433339663085978,20,500,2.9823174476623535,2.997104594707489,0.0031371089223649895,natural,0,baseline,,natural_baseline,0,,,4,none
0.10625000298023224,0.046875,0.050375000979751346,0.012682111181693996,40,500,2.978036403656006,2.9969597573280335,0.0028514404257038123,natural,0,baseline,,natural_baseline,0,,,4,none
0.09687500447034836,0.05937499925494194,0.050437500827014446,0.01194567802918891,80,500,2.9811935424804688,2.99692688035965,0.0030226139332072605,natural,0,baseline,,natural_baseline,0,,,4,none
0.10000000149011612,0.03750000149011612,0.05041875094920397,0.012041612681472323,10,500,2.9802350997924805,2.996895987510681,0.002677508685563027,natural,0,baseline,,natural_baseline,0,,,8,none
0.09062500298023224,0.02500000037252903,0.0498375008367002,0.01268507389389923,20,500,2.982745409011841,2.9970931992530825,0.0030745800281854678,natural,0,baseline,,natural_baseline,0,,,8,none
0.09687500447034836,0.04062500223517418,0.05062500083819032,0.012672250798075012,40,500,2.979279041290283,2.996946138858795,0.0028284730004458558,natural,0,baseline,,natural_baseline,0,,,8,none
0.09375,0.05937499925494194,0.05020625088736415,0.012092435554410598,80,500,2.981703519821167,2.996931884765625,0.002986776547894574,natural,0,baseline,,natural_baseline,0,,,8,none
0.09687500447034836,0.04062500223517418,0.05010625091567635,0.011792826118658296,10,500,2.9797122478485107,2.9969255423545835,0.0026980982604523154,natural,0,baseline,,natural_baseline,0,,,16,none
0.10312499850988388,0.02500000037252903,0.050012500945478676,0.012521849939108388,20,500,2.9836058616638184,2.997017867565155,0.0030288965318489673,natural,0,baseline,,natural_baseline,0,,,16,none
0.10312499850988388,0.03125,0.05068125096708536,0.012660869799850639,40,500,2.9802236557006836,2.9969128909111022,0.0028204020371723907,natural,0,baseline,,natural_baseline,0,,,16,none
0.09687500447034836,0.05625000223517418,0.05008125092834234,0.012148706077448756,80,500,2.9816792011260986,2.996880642414093,0.0029418830003800477,natural,0,baseline,,natural_baseline,0,,,16,none
1.0,0.987500011920929,0.9947750089168549,0.004169748759310965,10,500,0.0015751576283946633,0.021143410780699923,0.01631520775381978,natural,0,baseline,,natural_baseline,0,,,32,none
0.846875011920929,0.8062500357627869,0.8103500125408173,0.01218135211931381,20,500,0.336492121219635,0.40377985376119613,0.021117610159025076,natural,0,baseline,,natural_baseline,0,,,32,none
0.33125001192092896,0.2874999940395355,0.14806875253468751,0.08746674081369299,40,500,2.4162182807922363,2.822317150592804,0.17978237242327286,natural,0,baseline,,natural_baseline,0,,,32,none
0.09375,0.05312500149011612,0.050400000996887684,0.011951896030337911,80,500,2.982001543045044,2.99682489490509,0.002824119400071429,natural,0,baseline,,natural_baseline,0,,,32,none
0.09687500447034836,0.05000000074505806,0.0501562508456409,0.011612013971882919,10,500,2.9825003147125244,2.9971989555358887,0.002712960307224391,natural,0,baseline,,natural_baseline,1,,,4,none
0.109375,0.06875000149011612,0.05050000086426735,0.012045811275759145,20,500,2.978286027908325,2.9970875463485718,0.0029631376076307853,natural,0,baseline,,natural_baseline,1,,,4,none
0.10625000298023224,0.05000000074505806,0.04979375088587403,0.012378173856821639,40,500,2.977628469467163,2.9972331399917604,0.0029832652153369086,natural,0,baseline,,natural_baseline,1,,,4,none
0.09375,0.05312500149011612,0.049862500861287115,0.012332496721091345,80,500,2.979372978210449,2.99737708902359,0.003157124643442712,natural,0,baseline,,natural_baseline,1,,,4,none
0.09687500447034836,0.046875,0.050056250918656585,0.012212984708612125,10,500,2.9822945594787598,2.9972214813232423,0.002723398041975203,natural,0,baseline,,natural_baseline,1,,,8,none
0.10000000149011612,0.0625,0.051181250978261233,0.011828493130532981,20,500,2.9785757064819336,2.997078288078308,0.002958681532833583,natural,0,baseline,,natural_baseline,1,,,8,none
0.10000000149011612,0.03125,0.050012500943616034,0.01236330907403879,40,500,2.9770383834838867,2.9972583384513856,0.002985741619020176,natural,0,baseline,,natural_baseline,1,,,8,none
0.09375,0.04374999925494194,0.05043750098720193,0.01194567813247059,80,500,2.9790048599243164,2.9974489941596985,0.0032913685080225683,natural,0,baseline,,natural_baseline,1,,,8,none
0.09062500298023224,0.05625000223517418,0.050037500895559785,0.011734304983954703,10,500,2.9828505516052246,2.997248109817505,0.0027004921527777254,natural,0,baseline,,natural_baseline,1,,,16,none
0.09687500447034836,0.0625,0.050893750872462985,0.011759389659283274,20,500,2.977034568786621,2.9970767579078674,0.0029823064330511103,natural,0,baseline,,natural_baseline,1,,,16,none
0.10000000149011612,0.04062500223517418,0.04967500077188015,0.01187548708616956,40,500,2.9780752658843994,2.9972697587013246,0.002993221333152931,natural,0,baseline,,natural_baseline,1,,,16,none
0.09062500298023224,0.05000000074505806,0.04994375086948276,0.012321251836408623,80,500,2.9796688556671143,2.9974706659317016,0.003274466017675152,natural,0,baseline,,natural_baseline,1,,,16,none
1.0,0.9937500357627869,0.9953812586069107,0.00405228033875622,10,500,0.0014963666908442974,0.021582260764203966,0.019391013011123264,natural,0,baseline,,natural_baseline,1,,,32,none
0.8187500238418579,0.793749988079071,0.7440250118970871,0.0293211363047408,20,500,0.47951897978782654,0.6013062342405319,0.038365340478771284,natural,0,baseline,,natural_baseline,1,,,32,none
0.4375,0.421875,0.3317937563061714,0.048695856250282686,40,500,1.8774845600128174,2.2789115772247315,0.20446747310422542,natural,0,baseline,,natural_baseline,1,,,32,none
0.09375,0.04374999925494194,0.049931250918656585,0.01220972187936602,80,500,2.9795143604278564,2.9974972114562988,0.0032282202554529075,natural,0,baseline,,natural_baseline,1,,,32,none
0.09375,0.04374999925494194,0.050656250964850186,0.012912680080359626,10,500,2.9821412563323975,2.9970170578956603,0.003289568156019549,natural,0,baseline,,natural_baseline,2,,,4,none
0.09687500447034836,0.04374999925494194,0.0485500008277595,0.011353991681657051,20,500,2.977062940597534,2.9974100160598756,0.0029486117003992593,natural,0,baseline,,natural_baseline,2,,,4,none
0.10625000298023224,0.05937499925494194,0.049293750904500486,0.01285850146328569,40,500,2.9719955921173096,2.9972315216064453,0.0032430088273183682,natural,0,baseline,,natural_baseline,2,,,4,none
0.10000000149011612,0.04062500223517418,0.04965000096708536,0.011835236287962285,80,500,2.982320547103882,2.997309054374695,0.002947668683015747,natural,0,baseline,,natural_baseline,2,,,4,none
0.09375,0.03750000149011612,0.05053125101327896,0.012448762443637653,10,500,2.9816701412200928,2.99702490234375,0.003268426427849239,natural,0,baseline,,natural_baseline,2,,,8,none
0.09375,0.04374999925494194,0.048481250811368226,0.011216009521728144,20,500,2.9777965545654297,2.9974262599945067,0.002931837157227404,natural,0,baseline,,natural_baseline,2,,,8,none
