model,write_mode,delay_len,max_mem,eval_acc_mean,eval_acc_std,acc_mean_tail_mean,acc_mean_tail_std,source_survival_rate_mean,source_survival_rate_std,attn_mass_source_mean,attn_mass_source_std,attn_mass_noise_mean,attn_mass_noise_std,attn_mass_sep_mean,attn_mass_sep_std,attn_mass_other_mean,attn_mass_other_std,attn_entropy_mean,attn_entropy_std,mem_source_entries_mean,mem_source_entries_std,mem_noise_entries_mean,mem_noise_entries_std,mem_sep_entries_mean,mem_sep_entries_std,eval_error_rate_mean,eval_error_rate_std,err_sep_rate_mean,err_sep_rate_std,err_source_only_rate_mean,err_source_only_rate_std,err_noise_only_rate_mean,err_noise_only_rate_std,err_both_source_and_noise_rate_mean,err_both_source_and_noise_rate_std,err_other_rate_mean,err_other_rate_std
gated,prefix-all,40,50,0.746791305818728,0.025175838728589132,0.7386214401551656,0.0252739788472072,0.45,0.0,0.7009186031562942,0.0027731273853411256,0.2215582511520811,0.026713741213630966,0.07752317140278,0.025885222379207193,0.0,0.0,0.01485837762343827,0.009938748093017445,9.0,0.0,40.0,0.0,1.0,0.0,0.25320870535714285,0.025175838612023223,0.0,0.0,0.1303988338319438,0.013249474946924128,0.0,0.0,0.8696011661680562,0.013249474946924083,0.0,0.0
gated,prefix-all,40,60,0.9707589431532792,0.02064707274117299,0.9497169753823961,0.019459074126342436,0.95,0.0,0.7355938968913895,0.1214601060963456,0.21630276478166313,0.10378991682935458,0.04810335946873064,0.029741454763251282,0.0,0.0,0.1234769649537546,0.026205068189924876,19.0,0.0,40.0,0.0,1.0,0.0,0.0292410714285714,0.020647070059602403,0.0,0.0,0.12942675241333185,0.036993927916553364,0.0,0.0,0.8437875333009538,0.03509113286050098,0.0,0.0
gated,prefix-all,40,61,0.993219865752118,0.01785257241889683,0.9896892909663063,0.01793352192345399,1.0,0.0,0.7430245423955577,0.12369896661654728,0.20694275866066744,0.10546904771173875,0.05003272304868132,0.028863409857290648,0.0,0.0,0.09256817842833695,0.045387745672262114,20.0,0.0,40.0,0.0,1.0,0.0,0.006780133928571429,0.01785257190149234,0.0,0.0,0.01881091378859236,0.049768999818491214,0.0,0.0,0.13297480049712193,0.32509384475601616,0.0,0.0
gated,prefix-all,40,62,0.993219865752118,0.01785257241889683,0.9896892909663063,0.01793352192345399,1.0,0.0,0.7430245423955577,0.12369896661654728,0.20694275866066744,0.10546904771173875,0.05003272304868132,0.028863409857290648,0.0,0.0,0.09256817842833695,0.045387745672262114,20.0,0.0,40.0,0.0,1.0,0.0,0.006780133928571429,0.01785257190149234,0.0,0.0,0.01881091378859236,0.049768999818491214,0.0,0.0,0.13297480049712193,0.32509384475601616,0.0,0.0
gated,prefix-all,40,70,0.993219865752118,0.01785257241889683,0.9896892909663063,0.01793352192345399,1.0,0.0,0.7430245423955577,0.12369896661654728,0.20694275866066744,0.10546904771173875,0.05003272304868132,0.028863409857290648,0.0,0.0,0.09256817842833695,0.045387745672262114,20.0,0.0,40.0,0.0,1.0,0.0,0.006780133928571429,0.01785257190149234,0.0,0.0,0.01881091378859236,0.049768999818491214,0.0,0.0,0.13297480049712193,0.32509384475601616,0.0,0.0
gated,prefix-all,80,80,0.19048549474350038,0.0991118564959272,0.14055000242697338,0.06575114131211175,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.1680059411696027,0.4454546286648196,0.0,0.0,80.0,0.0,0.0,0.0,0.8095145089285715,0.09911185457541476,0.0,0.0,0.00863221742936397,0.003918834040966601,0.2708500502205435,0.06453722561759727,0.7157386077436937,0.06440061391676018,0.004779124606398742,0.003039612127107018
gated,prefix-all,80,100,0.964481038174459,0.026582461626050585,0.9384053689411708,0.025820194628532873,0.95,0.0,0.7450231287096228,0.050617955929576186,0.17640571509088784,0.036167264741562934,0.07857117888384625,0.026575249216163787,0.0,0.0,0.13216491735407282,0.028344247178506303,19.0,0.0,80.0,0.0,1.0,0.0,0.03551897321428564,0.026582461424675227,0.0,0.0,0.019994346422779613,0.019876747945411315,0.0,0.0,0.9264342250057919,0.1353166595569703,0.0,0.0
gated,prefix-all,80,101,0.9999720981078488,7.382146774005404e-05,0.9961008985042572,0.0005674130895593344,1.0,0.0,0.6796981926475253,0.027656869012917046,0.27421013452112675,0.025099109756189057,0.04609169932414906,0.007415335996316293,0.0,0.0,0.07857338954428474,0.030148407717840314,20.0,0.0,80.0,0.0,1.0,0.0,2.7901785714285717e-05,7.382118613461469e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.023622779563076703,0.0,0.0
gated,prefix-all,80,102,0.9999720981078488,7.382146774005404e-05,0.9961008985042572,0.0005674130895593344,1.0,0.0,0.6796981926475253,0.027656869012917046,0.27421013452112675,0.025099109756189057,0.04609169932414906,0.007415335996316293,0.0,0.0,0.07857338954428474,0.030148407717840314,20.0,0.0,80.0,0.0,1.0,0.0,2.7901785714285717e-05,7.382118613461469e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.023622779563076703,0.0,0.0
gated,prefix-all,80,120,0.9999720981078488,7.382146774005404e-05,0.9961008985042572,0.0005674130895593344,1.0,0.0,0.6796981926475253,0.027656869012917046,0.27421013452112675,0.025099109756189057,0.04609169932414906,0.007415335996316293,0.0,0.0,0.07857338954428474,0.030148407717840314,20.0,0.0,80.0,0.0,1.0,0.0,2.7901785714285717e-05,7.382118613461469e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.023622779563076703,0.0,0.0
