acc_best,acc_last,acc_mean_tail,acc_std_tail,attn_entropy,attn_mass_noise,attn_mass_other,attn_mass_sep,attn_mass_source,delay_len,err_both_source_and_noise,err_both_source_and_noise_rate,err_noise_only,err_noise_only_rate,err_other,err_other_rate,err_sep,err_sep_rate,err_source_only,err_source_only_rate,eval_acc,eval_batches,eval_correct_tokens,eval_error_rate,eval_tail,eval_total_tokens,eval_wrong_tokens,gate_max,gate_mean,gate_min,loss_best,loss_mean_tail,loss_std_tail,mask_mode,max_mem,mem_entries_total,mem_noise_entries,mem_sep_entries,mem_source_entries,model,num_steps,phase,run_mode,seed,source_survival_rate,window_size,write_mode
0.5843750238418579,0.5375000238418579,0.5334875111579895,0.015315478065938335,0.05584718380123377,0.0,0.0,0.0,1.0,40,126.9375,0.8573986418922936,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.14260135810770647,0.5376953221857548,16,172.0625,0.4623046875000001,500,320.0,147.9375,-1.0,-1.0,-1.0,0.9080642461776733,1.005356355190277,0.031135155264339666,forced,10,10,0,0,10,naive,3001,expB_memory_diagnostics,main,0,0.5,8,source-only
0.8062500357627869,0.78125,0.7735375130176544,0.01389728565635381,0.1461724890395999,0.0,0.0,0.0,1.0,40,53.375,0.8817090182198523,0.0,0.0,0.0,0.0,0.0,0.0,7.25,0.11829098178014774,0.8105468861758709,16,259.375,0.18945312499999997,500,320.0,60.625,-1.0,-1.0,-1.0,0.4730706810951233,0.5464398379325867,0.027014821070189626,forced,15,15,0,0,15,naive,3001,expB_memory_diagnostics,main,0,0.75,8,source-only
1.0,0.996874988079071,0.9955812566280365,0.004721332443996092,0.04923564265482128,0.0,0.0,0.0,1.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,320.0,0.0,500,320.0,0.0,-1.0,-1.0,-1.0,0.0024193052668124437,0.02208949006162584,0.01823386473442122,forced,20,20,0,0,20,naive,3001,expB_memory_diagnostics,main,0,1.0,8,source-only
1.0,0.996874988079071,0.9955812566280365,0.004721332443996092,0.04923564265482128,0.0,0.0,0.0,1.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,320.0,0.0,500,320.0,0.0,-1.0,-1.0,-1.0,0.0024193052668124437,0.02208949006162584,0.01823386473442122,forced,25,20,0,0,20,naive,3001,expB_memory_diagnostics,main,0,1.0,8,source-only
1.0,0.996874988079071,0.9955812566280365,0.004721332443996092,0.04923564265482128,0.0,0.0,0.0,1.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,320.0,0.0,500,320.0,0.0,-1.0,-1.0,-1.0,0.0024193052668124437,0.02208949006162584,0.01823386473442122,forced,30,20,0,0,20,naive,3001,expB_memory_diagnostics,main,0,1.0,8,source-only
0.768750011920929,0.753125011920929,0.7197625122070312,0.013056003591981197,0.06873827241361141,0.25023537036031485,0.0,0.05016945651732385,0.6995951943099499,40,62.875,0.8579201140217632,0.0,0.0,0.0,0.0,0.0,0.0,10.4375,0.14207988597823693,0.7708984464406967,16,246.6875,0.22910156250000002,500,320.0,73.3125,-1.0,-1.0,-1.0,0.5703738927841187,0.6469596430063248,0.02576383043051895,forced,50,50,40,1,9,naive,3001,expB_memory_diagnostics,main,0,0.45,8,prefix-all
0.9281250238418579,0.925000011920929,0.9031125115156173,0.009261808268315625,0.17754088435322046,0.1999240154400468,0.0,0.10036426968872547,0.6997117213904858,40,24.1875,0.8763756266707916,0.0,0.0,0.0,0.0,0.0,0.0,3.375,0.1236243733292084,0.9138672016561031,16,292.4375,0.08613281249999999,500,320.0,27.5625,-1.0,-1.0,-1.0,0.13702166080474854,0.1904570251405239,0.023514046678851905,forced,60,60,40,1,19,naive,3001,expB_memory_diagnostics,main,0,0.95,8,prefix-all
1.0,0.996874988079071,0.996531255364418,0.003431660746049854,0.11422868585214019,0.24982873816043139,0.0,0.05003841524012387,0.700132854282856,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,320.0,0.0,500,320.0,0.0,-1.0,-1.0,-1.0,0.0032707625068724155,0.01870526720257476,0.013816182796075875,forced,61,61,40,1,20,naive,3001,expB_memory_diagnostics,main,0,1.0,8,prefix-all
1.0,0.996874988079071,0.996531255364418,0.003431660746049854,0.11422868585214019,0.24982873816043139,0.0,0.05003841524012387,0.700132854282856,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,320.0,0.0,500,320.0,0.0,-1.0,-1.0,-1.0,0.0032707625068724155,0.01870526720257476,0.013816182796075875,forced,62,61,40,1,20,naive,3001,expB_memory_diagnostics,main,0,1.0,8,prefix-all
1.0,0.996874988079071,0.996531255364418,0.003431660746049854,0.11422868585214019,0.24982873816043139,0.0,0.05003841524012387,0.700132854282856,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,320.0,0.0,500,320.0,0.0,-1.0,-1.0,-1.0,0.0032707625068724155,0.01870526720257476,0.013816182796075875,forced,70,61,40,1,20,naive,3001,expB_memory_diagnostics,main,0,1.0,8,prefix-all
